id,district,pincode,state
52,ANANTAPUR,515631,"ANDHRA PRADESH"
53,ANANTAPUR,515581,"ANDHRA PRADESH"
54,ANANTAPUR,515571,"ANDHRA PRADESH"
55,ANANTAPUR,515311,"ANDHRA PRADESH"
56,ANANTAPUR,515281,"ANDHRA PRADESH"
57,ANANTAPUR,515241,"ANDHRA PRADESH"
58,"WEST GODAVARI",534176,"ANDHRA PRADESH"
59,BANKA,813105,BIHAR
60,BHAGALPUR,813203,BIHAR
61,BHAGALPUR,853202,BIHAR
62,BHAGALPUR,813222,BIHAR
63,BHAGALPUR,812005,BIHAR
64,BHAGALPUR,853203,BIHAR
65,BHAGALPUR,812006,BIHAR
66,MADHEPURA,853204,BIHAR
67,BHAGALPUR,813209,BIHAR
68,VISAKHAPATANAM,530052,"ANDHRA PRADESH"
69,ANANTAPUR,515871,"ANDHRA PRADESH"
70,ANANTAPUR,515842,"ANDHRA PRADESH"
71,ANANTAPUR,515803,"ANDHRA PRADESH"
72,ANANTAPUR,515775,"ANDHRA PRADESH"
73,ANANTAPUR,515405,"ANDHRA PRADESH"
74,ANANTAPUR,515865,"ANDHRA PRADESH"
75,ANANTAPUR,515455,"ANDHRA PRADESH"
76,ANANTAPUR,515611,"ANDHRA PRADESH"
77,ANANTAPUR,515867,"ANDHRA PRADESH"
78,ANANTAPUR,515812,"ANDHRA PRADESH"
79,ANANTAPUR,515832,"ANDHRA PRADESH"
80,ANANTAPUR,515870,"ANDHRA PRADESH"
81,VISAKHAPATANAM,531173,"ANDHRA PRADESH"
82,VISAKHAPATANAM,531219,"ANDHRA PRADESH"
83,BHAGALPUR,853205,BIHAR
84,BHAGALPUR,813210,BIHAR
85,BHAGALPUR,813108,BIHAR
86,BANKA,813212,BIHAR
87,ANANTAPUR,515101,"ANDHRA PRADESH"
88,NIZAMABAD,503186,TELANGANA
89,NIZAMABAD,503180,TELANGANA
90,KAMAREDDY,503187,TELANGANA
91,KAMAREDDY,503101,TELANGANA
92,KAMAREDDY,503125,TELANGANA
93,KAMAREDDY,503112,TELANGANA
94,BARMER,344704,RAJASTHAN
95,BARMER,344032,RAJASTHAN
96,JODHPUR,342002,RAJASTHAN
97,BARMER,344706,RAJASTHAN
98,KAMAREDDY,503124,TELANGANA
99,KAMAREDDY,503309,TELANGANA
100,KAMAREDDY,503108,TELANGANA
101,KAMAREDDY,503302,TELANGANA
102,NIZAMABAD,503201,TELANGANA
103,KAMAREDDY,503306,TELANGANA
104,KAMAREDDY,503123,TELANGANA
105,KAMAREDDY,503102,TELANGANA
106,Y.S.R.,516129,"ANDHRA PRADESH"
107,Y.S.R.,516237,"ANDHRA PRADESH"
108,Y.S.R.,516130,"ANDHRA PRADESH"
109,Y.S.R.,516151,"ANDHRA PRADESH"
110,PATIALA,147111,PUNJAB
111,HAILAKANDI,788162,ASSAM
112,HAILAKANDI,788150,ASSAM
113,HAILAKANDI,788801,ASSAM
114,HAILAKANDI,788161,ASSAM
115,HAILAKANDI,788152,ASSAM
116,HAILAKANDI,788155,ASSAM
117,"KANPUR NAGAR",208001,"UTTAR PRADESH"
118,KAMAREDDY,503310,TELANGANA
119,KAMAREDDY,503110,TELANGANA
120,KAMAREDDY,503145,TELANGANA
121,KAMAREDDY,503120,TELANGANA
122,NIZAMABAD,503235,TELANGANA
123,KAMAREDDY,503321,TELANGANA
124,NIZAMABAD,503185,TELANGANA
125,NIZAMABAD,503230,TELANGANA
126,NIZAMABAD,503202,TELANGANA
127,NIZAMABAD,503246,TELANGANA
128,KAMAREDDY,503305,TELANGANA
129,GORAKHPUR,273001,"UTTAR PRADESH"
130,PEDDAPALLI,505186,TELANGANA
131,PEDDAPALLI,505153,TELANGANA
132,PEDDAPALLI,505162,TELANGANA
133,PEDDAPALLI,505152,TELANGANA
134,PEDDAPALLI,505514,TELANGANA
135,PEDDAPALLI,505187,TELANGANA
136,PEDDAPALLI,505212,TELANGANA
137,PEDDAPALLI,505525,TELANGANA
138,PEDDAPALLI,505209,TELANGANA
139,PEDDAPALLI,505188,TELANGANA
140,KARIMNAGAR,505122,TELANGANA
